Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
0.01,1.22683985e+00,6.14261266e-01,6.12578583e-01,-1.68268311e-02,-8.89384846e-03,-7.93298265e-03,-4.80432907e-04,8.41341555e-04,6.13419925e-02,-7.86329613e-20,6.13419925e-02,-6.13419925e-02
0.0101,1.22833899e+00,6.15852043e-01,6.12486945e-01,-3.36509841e-02,-1.73057977e-02,-1.63451865e-02,-4.80305596e-04,1.68254921e-03,6.14169494e-02,-7.77125313e-20,6.14169494e-02,-6.14169494e-02
0.0102,1.22982645e+00,6.17262140e-01,6.12564308e-01,-4.69783192e-02,-2.38949506e-02,-2.30833686e-02,-4.05790969e-04,2.34891596e-03,6.14913224e-02,-7.60303268e-20,6.14913224e-02,-6.14913224e-02
0.0103,1.23164004e+00,6.18600934e-01,6.13039104e-01,-5.56182903e-02,-2.80667956e-02,-2.75514947e-02,-2.57650471e-04,2.78091451e-03,6.15820019e-02,-7.55289259e-20,6.15820019e-02,-6.15820019e-02
0.0104,1.23375947e+00,6.19782305e-01,6.13977161e-01,-5.80514397e-02,-2.90697609e-02,-2.89816788e-02,-4.40410913e-05,2.90257199e-03,6.16879733e-02,-7.58612053e-20,6.16879733e-02,-6.16879733e-02
0.0105,1.23598650e+00,6.20700427e-01,6.15286072e-01,-5.41435488e-02,-2.68512194e-02,-2.72923294e-02,2.20554978e-04,2.70717744e-03,6.17993250e-02,-7.63235874e-20,6.17993250e-02,-6.17993250e-02
0.0106,1.23838616e+00,6.21401662e-01,6.16984495e-01,-4.41716653e-02,-2.15726728e-02,-2.25989925e-02,5.13159854e-04,2.20858327e-03,6.19193079e-02,-7.72913740e-20,6.19193079e-02,-6.19193079e-02
0.0107,1.24015218e+00,6.21474869e-01,6.18677315e-01,-2.79755426e-02,-1.31832011e-02,-1.47923415e-02,8.04570204e-04,1.39877713e-03,6.20076092e-02,-7.96515923e-20,6.20076092e-02,-6.20076092e-02
0.0108,1.24215814e+00,6.21404816e-01,6.20753326e-01,-6.51489738e-03,-2.19510367e-03,-4.31979371e-03,1.06234502e-03,3.25744869e-04,6.21079071e-02,-8.20965984e-20,6.21079071e-02,-6.21079071e-02
0.0109,1.24452495e+00,6.21325432e-01,6.23199518e-01,1.87408572e-02,1.06284810e-02,8.11237627e-03,1.25805234e-03,-9.37042862e-04,6.22262475e-02,-8.52890970e-20,6.22262475e-02,-6.22262475e-02
0.011,1.24864036e+00,6.22084713e-01,6.26555652e-01,4.47093970e-02,2.37209517e-02,2.09884453e-02,1.36625323e-03,-2.23546985e-03,6.24320182e-02,-8.82906334e-20,6.24320182e-02,-6.24320182e-02
0.0111,1.25253770e+00,6.22829994e-01,6.29707711e-01,6.87771735e-02,3.57561985e-02,3.30209750e-02,1.36761172e-03,-3.43885868e-03,6.26268852e-02,-9.06781871e-20,6.26268852e-02,-6.26268852e-02
0.0112,1.25623326e+00,6.23724279e-01,6.32508983e-01,8.78470409e-02,4.51756945e-02,4.26713464e-02,1.25217404e-03,-4.39235204e-03,6.28116631e-02,-9.19950518e-20,6.28116631e-02,-6.28116631e-02
0.0113,1.25998145e+00,6.25028441e-01,6.34953005e-01,9.92456346e-02,5.06408123e-02,4.86048224e-02,1.01799496e-03,-4.96228173e-03,6.29990723e-02,-9.24244326e-20,6.29990723e-02,-6.29990723e-02
